ratio,backbone,config,local_epoch,integrated_epoch,total_epochs,train_loss,val_acc,val_bal_acc,val_auc
DenseNet121,DenseNet121,baseline 7:1.5:1.5,1,1,60,0.7263,0.611,0.669,0.631
DenseNet121,DenseNet121,baseline 7:1.5:1.5,2,2,60,0.7081,0.75,0.581,0.715
DenseNet121,DenseNet121,baseline 7:1.5:1.5,3,3,60,0.6974,0.583,0.619,0.669
DenseNet121,DenseNet121,baseline 7:1.5:1.5,4,4,60,0.7097,0.667,0.646,0.627
DenseNet121,DenseNet121,baseline 7:1.5:1.5,5,5,60,0.6871,0.667,0.615,0.623
DenseNet121,DenseNet121,baseline 7:1.5:1.5,6,6,60,0.6711,0.639,0.535,0.658
DenseNet121,DenseNet121,baseline 7:1.5:1.5,7,7,60,0.6505,0.611,0.608,0.604
DenseNet121,DenseNet121,baseline 7:1.5:1.5,8,8,60,0.6535,0.472,0.512,0.55
DenseNet121,DenseNet121,baseline 7:1.5:1.5,9,9,60,0.6407,0.528,0.519,0.565
DenseNet121,DenseNet121,baseline 7:1.5:1.5,10,10,60,0.6959,0.639,0.596,0.662
DenseNet121,DenseNet121,baseline 7:1.5:1.5,11,11,60,0.6533,0.361,0.527,0.612
DenseNet121,DenseNet121,baseline 7:1.5:1.5,12,12,60,0.624,0.611,0.638,0.592
DenseNet121,DenseNet121,baseline 7:1.5:1.5,13,13,60,0.6705,0.639,0.658,0.662
DenseNet121,DenseNet121,baseline 7:1.5:1.5,14,14,60,0.6542,0.75,0.735,0.804
DenseNet121,DenseNet121,baseline 7:1.5:1.5,15,15,60,0.6287,0.611,0.638,0.662
DenseNet121,DenseNet121,baseline 7:1.5:1.5,16,16,60,0.6052,0.556,0.569,0.688
DenseNet121,DenseNet121,baseline 7:1.5:1.5,17,17,60,0.6042,0.75,0.735,0.758
DenseNet121,DenseNet121,baseline 7:1.5:1.5,18,18,60,0.6525,0.556,0.6,0.604
DenseNet121,DenseNet121,baseline 7:1.5:1.5,19,19,60,0.611,0.583,0.558,0.665
DenseNet121,DenseNet121,baseline 7:1.5:1.5,20,20,60,0.5955,0.556,0.6,0.685
DenseNet121,DenseNet121,baseline 7:1.5:1.5,21,21,60,0.5233,0.667,0.677,0.658
DenseNet121,DenseNet121,baseline 7:1.5:1.5,22,22,60,0.617,0.75,0.735,0.812
DenseNet121,DenseNet121,baseline 7:1.5:1.5,23,23,60,0.581,0.75,0.735,0.762
DenseNet121,DenseNet121,baseline 7:1.5:1.5,24,24,60,0.5737,0.361,0.527,0.577
DenseNet121,DenseNet121,baseline 7:1.5:1.5,25,25,60,0.6042,0.667,0.646,0.715
ViT,ViT,baseline 7:1.5:1.5,1,1,25,0.8515,0.722,0.5,0.55
ViT,ViT,baseline 7:1.5:1.5,2,2,25,0.6934,0.722,0.5,0.538
ViT,ViT,baseline 7:1.5:1.5,3,3,25,0.6931,0.722,0.5,0.542
ViT,ViT,baseline 7:1.5:1.5,4,4,25,0.6932,0.722,0.5,0.538
ViT,ViT,baseline 7:1.5:1.5,5,5,25,0.6931,0.722,0.5,0.54
ViT,ViT,baseline 7:1.5:1.5,6,6,25,0.6932,0.722,0.5,0.535
ViT,ViT,baseline 7:1.5:1.5,7,7,25,0.6931,0.722,0.5,0.544
ViT,ViT,baseline 7:1.5:1.5,8,8,25,0.6932,0.722,0.5,0.546
ViT,ViT,baseline 7:1.5:1.5,9,9,25,0.6932,0.722,0.5,0.546
ViT,ViT,baseline 7:1.5:1.5,10,10,25,0.6931,0.722,0.5,0.55
ViT,ViT,baseline 7:1.5:1.5,11,11,25,0.6931,0.722,0.5,0.548
ViT,ViT,baseline 7:1.5:1.5,12,12,25,0.6932,0.722,0.5,0.56
ViT,ViT,baseline 7:1.5:1.5,13,13,25,0.6932,0.722,0.5,0.565
ViT,ViT,baseline 7:1.5:1.5,14,14,25,0.6932,0.722,0.5,0.558
ViT,ViT,baseline 7:1.5:1.5,15,15,25,0.6931,0.722,0.5,0.567
ViT,ViT,baseline 7:1.5:1.5,16,16,25,0.6931,0.722,0.5,0.562
ViT,ViT,baseline 7:1.5:1.5,17,17,25,0.6931,0.722,0.5,0.554
ViT,ViT,baseline 7:1.5:1.5,18,18,25,0.6932,0.722,0.5,0.577
ViT,ViT,baseline 7:1.5:1.5,19,19,25,0.6932,0.722,0.5,0.59
ViT,ViT,baseline 7:1.5:1.5,20,20,25,0.6932,0.722,0.5,0.596
ViT,ViT,baseline 7:1.5:1.5,21,21,25,0.6931,0.722,0.5,0.596
ViT,ViT,baseline 7:1.5:1.5,22,22,25,0.6931,0.722,0.5,0.59
ViT,ViT,baseline 7:1.5:1.5,23,23,25,0.6931,0.722,0.5,0.558
ViT,ViT,baseline 7:1.5:1.5,24,24,25,0.6931,0.722,0.5,0.529
ViT,ViT,baseline 7:1.5:1.5,25,25,25,0.6932,0.722,0.5,0.517
