ratio,round_label,round_number,local_epoch,local_total_epochs,integrated_epoch,train_loss,val_acc,val_bal_acc,val_auc,new_best_checkpoint,checkpoint_score,data_status,note
5,Round 1,1,1,20,1,0.6467,0.607,0.572,0.592,True,0.592,parsed,
5,Round 1,1,2,20,2,0.5815,0.557,0.519,0.59,False,,parsed,
5,Round 1,1,3,20,3,0.5189,0.623,0.563,0.59,False,,parsed,
5,Round 1,1,4,20,4,0.5874,0.607,0.552,0.6,True,0.6,parsed,
5,Round 1,1,5,20,5,0.5281,0.639,0.594,0.633,True,0.633,parsed,
5,Round 1,1,6,20,6,0.5728,0.639,0.574,0.647,True,0.647,parsed,
5,Round 1,1,7,20,7,0.4809,0.639,0.615,0.676,True,0.676,parsed,
5,Round 1,1,8,20,8,0.4888,0.639,0.554,0.607,False,,parsed,
5,Round 1,1,9,20,9,0.4996,0.656,0.606,0.661,False,,parsed,
5,Round 1,1,10,20,10,0.4654,0.689,0.668,0.729,True,0.729,parsed,
5,Round 1,1,11,20,11,0.5005,0.623,0.543,0.651,False,,parsed,
5,Round 1,1,12,20,12,0.4454,0.623,0.583,0.665,False,,parsed,
5,Round 1,1,13,20,13,0.505,0.639,0.554,0.671,False,,parsed,
5,Round 1,1,14,20,14,0.4634,0.607,0.552,0.629,False,,parsed,
5,Round 1,1,15,20,15,0.4243,0.574,0.61,0.711,False,,parsed,
5,Round 1,1,16,20,16,0.385,0.689,0.688,0.729,False,,parsed,
5,Round 1,1,17,20,17,0.479,0.623,0.603,0.706,False,,parsed,
5,Round 1,1,18,20,18,0.3818,0.656,0.626,0.725,False,,parsed,
5,Round 1,1,19,20,19,0.412,0.705,0.679,0.726,False,,parsed,
5,Round 1,1,20,20,20,0.362,0.639,0.635,0.717,False,,parsed,
5,Round 2,2,1,40,21,0.5605,0.607,0.592,0.689,True,0.689,parsed,
5,Round 2,2,2,40,22,0.5017,0.607,0.552,0.624,False,,parsed,
5,Round 2,2,3,40,23,0.4347,0.656,0.585,0.625,False,,parsed,
5,Round 2,2,4,40,24,0.4769,0.623,0.563,0.66,False,,parsed,
5,Round 2,2,5,40,25,0.4492,0.623,0.603,0.693,True,0.693,parsed,
5,Round 2,2,6,40,26,0.499,0.705,0.659,0.708,True,0.708,parsed,
5,Round 2,2,7,40,27,0.4043,0.705,0.659,0.725,True,0.725,parsed,
5,Round 2,2,8,40,28,0.4085,0.672,0.597,0.646,False,,parsed,
5,Round 2,2,9,40,29,0.4407,0.705,0.659,0.744,True,0.744,parsed,
5,Round 2,2,10,40,30,0.3946,0.689,0.668,0.782,True,0.782,parsed,
5,Round 2,2,11,40,31,0.4676,0.656,0.565,0.674,False,,parsed,
5,Round 2,2,12,40,32,0.3794,0.705,0.639,0.729,False,,parsed,
5,Round 2,2,13,40,33,0.4332,0.672,0.576,0.708,False,,parsed,
5,Round 2,2,14,40,34,0.3948,0.672,0.597,0.689,False,,parsed,
5,Round 2,2,15,40,35,0.411,0.689,0.708,0.775,False,,parsed,
5,Round 2,2,16,40,36,0.3453,0.738,0.722,0.751,False,,parsed,
5,Round 2,2,17,40,37,0.4572,0.672,0.637,0.701,False,,parsed,
5,Round 2,2,18,40,38,0.3341,0.672,0.637,0.726,False,,parsed,
5,Round 2,2,19,40,39,0.3697,0.705,0.639,0.721,False,,parsed,
5,Round 2,2,20,40,40,0.3238,0.705,0.679,0.704,False,,parsed,
5,Round 2,2,21,40,41,0.4121,0.754,0.692,0.739,False,,parsed,
5,Round 2,2,22,40,42,0.3855,0.738,0.701,0.767,False,,parsed,
5,Round 2,2,23,40,43,0.3957,0.721,0.63,0.739,False,,parsed,
5,Round 2,2,24,40,44,0.3284,0.738,0.701,0.731,False,,parsed,
5,Round 2,2,25,40,45,0.3782,0.59,0.541,0.692,False,,parsed,
